pool_id	virus	n_reads	median_identity	total_aln_bp	n_refs_hit	family	breadth_pct	mean_depth	confidence	n_family_in_pool	ambiguity_flag
pool12	hMPV	2	0.909	6658	1	Pneumoviridae	25.8052	0.492959	low	1	FALSE
pool13	Rhinovirus-B	197	0.802	53324	1	Picornaviridae	6.83962	6.59656	medium	3	TRUE
pool13	HCoV-229E	7	0.964	21497	1	Coronaviridae	50.119	0.770473	medium	2	TRUE
pool13	HCoV-NL63	7	0.986	18761	1	Coronaviridae	54.4877	0.679926	medium	2	TRUE
pool13	Rhinovirus-C	26578	0.696	95894016	1	Picornaviridae	91.1255	12318.4	low	3	TRUE
pool13	Rhinovirus-A	9496	0.784	4293031	1	Picornaviridae	25.2907	543.221	low	3	TRUE
pool14	Rhinovirus-A	86914	0.759	260968157	1	Picornaviridae	100	35141.1	low	3	TRUE
pool14	Rhinovirus-B	2624	0.78	8048037	1	Picornaviridae	99.9861	1095.53	low	3	TRUE
pool14	Rhinovirus-C	99	0.705	317515	1	Picornaviridae	63.0793	41.261	low	3	TRUE
pool15	hMPV	612	0.922	1781997	1	Pneumoviridae	69.7678	132.078	high	1	FALSE
pool15	Rhinovirus-A	19662	0.773	44502132	1	Picornaviridae	97.8843	5878.64	low	3	TRUE
pool15	Rhinovirus-C	5467	0.709	14982385	1	Picornaviridae	91.1396	1970.09	low	3	TRUE
pool15	Rhinovirus-B	9	0.759	4264	1	Picornaviridae	16.343	0.508185	low	3	TRUE
